category,descrip,name,topics,type,views
Procurement Plan Local Law 63,Local Law 63 - Comptroller's Office Annual Contracting Plan Spreadsheet for Fiscal Year 2014,Annual Contracting Plan Spreadsheet  for Fiscal Year 2014,['local law 63 procurement plan fy 2014'],Dataset,653.0
Local Law 11 Compliance Plan,List of data files that are available to the general public for review.,Local Law 11 Of 2012 Compliance Plan Consolidated,['calendar year 2013'],File or Document,408.0
,Performance as of 1Q 2014,NYC Police Superior Officer's VSF Pension Fund Quarterly Report 1Q 2014,['quarterly reports 2014'],File or Document,41.0
,Performance as of 2 Q 2015,NYC BERS Pension Fund Quarterly Report 2Q 2015,['quarterly reports 2015'],File or Document,38.0
POLICE (NYC Police Pension Fund),Performance as of May 2014,"NYC Police Department Pension Fund July, 2014",['meeting agendas & performance 2014'],File or Document,27.0
,Performance as of 3Q 2012,NYC BERS Pension Fund Quarterly Report 3Q 2012,['quarterly reports 2012'],File or Document,22.0
