category,descrip,name,topics,type,views,views_norm
Government,See http://kingcounty.gov/elections/ballot-return-locations,DEPRECATED: KC Ballot Drop Box Map,[],Map,5998.0,0.16968908252468384
Government,,February 2014 Special Election eCanvass,"['ecanvass', 'february 2014', 'king county elections', 'king county']",Dataset,5954.0,0.1684442809856565
Government,,Aug 2013 Primary : Bellevue Council No 6,"['elections', 'king county']",Chart,5397.0,0.1526862251393329
,,"King Co Prop 1, AFIS - General Election, 2012",[],Filtered View,5296.0,0.14982883978838374
,,"King County Proposition No. 1 - General Election, 2012",[],Chart,5291.0,0.14968738506803972
Government,,Aug 2013 Primary : Seattle Council Position 8,"['elections', 'king county']",Chart,5165.0,0.14612272611537047
Government,,Aug 2013 Primary: Port Commissioner No 3,"['elections', 'king county']",Chart,5016.0,0.14190737544911874
,Election night precinct district reports,April 2016 special election - Precinct district reports,[],Dataset,4909.0,0.13888024443375677
Government,August 2013 Primary ECanvass,Top Voting Precincts by Votes Per Candidate,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Filtered View,4884.0,0.13817297083203667
,,"Secretary of State table - General Election, 2012",[],Filtered View,4807.0,0.13599456813873878
,,"Secretary of State - General Election, 2012",[],Chart,4806.0,0.13596627719467
Government,General election results for November 2014 - King County,Seattle Proposition 1A and 1B - results chart,"['king county', '2014', 'elections']",Chart,4711.0,0.13327863750813365
Government,,Results schedule - Nov 2014 General Election - calendar view,"['2014', 'elections']",Calendar,4676.0,0.1322884544657255
Government,General election results for November 2014 - King County,Seattle Proposition 1A and 1B (cont) - results chart,"['king county', '2014', 'elections']",Chart,4671.0,0.1321469997453815
,,"Seattle, Prop 1 - General Election, 2012",[],Chart,4613.0,0.1305061249893909
,,"Seattle, Prop 1 table - General Election, 2012",[],Filtered View,4611.0,0.13044954310125328
,,"Burien Annexation - General Election, 2012",[],Chart,4540.0,0.12844088607236823
,,"U.S. Senator - General Election, 2012",[],Chart,4507.0,0.1275072849180977
,,"Burien, table - General Election, 2012",[],Filtered View,4486.0,0.12691317509265285
,,"U.S. Senator - General Election, 2012",[],Filtered View,4475.0,0.126601974707896
,,"Auburn, Prop 1 - General Election 2012",[],Chart,4452.0,0.12595128299431352
Government,Results for June 25 2013 special election (Pacific mayor recall),June-col properties fixed,"['2013', 'special election', 'june 2013']",Chart,4380.0,0.12391433502135966
,,"Auburn, table - General Election, 2012",[],Filtered View,4376.0,0.12380117124508445
Government,,Aug 2013 Primary : Bellevue Council  No 4,"['elections', 'king county']",Chart,4342.0,0.12283927914674513
Government,August 2013 Primary ECanvass,Northern Precincts,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Filtered View,4215.0,0.11924632925000707
Government,,King LD1 Precinct Data,['election results'],Filtered View,4010.0,0.11344668571590234
,,"Renton Annexation table - General Election, 2012",[],Chart,3955.0,0.11189068379211814
,,"Renton Annexation table - General Election, 2012",[],Filtered View,3824.0,0.10818457011910487
,,"Congressional District 1 - General Election, 2012",[],Filtered View,3661.0,0.1035731462358899
,,"Congressional District 1 - General Election, 2012",[],Chart,3645.0,0.10312049113078904
Government,,Outreach Calendar  - list view (18 March),"['events calendar', 'voter education']",Filtered View,3625.0,0.10255467224941296
Government,Ecanvass results by precinct,2013 COB Council Wallace/Kastner,"['ecanvass', 'election']",Filtered View,3255.0,0.09208702294395564
,,"Sammamish, Prop 1 - General Election, 2012",[],Chart,3236.0,0.09154949500664837
,,"Sammamish table - General Election, 2012",[],Filtered View,3178.0,0.08990862025065777
